ID,seconds,iterations
182,3.09989,33554432
183,2.78154,33554432
184,3.00933,33554432
185,3.33028,33554432
186,2.85687,33554432
187,2.95985,33554432
188,3.0666,33554432
189,2.90624,33554432
190,3.07865,33554432
191,2.95556,33554432
192,2.88128,33554432
193,3.13106,33554432
194,2.87429,33554432
195,2.79119,33554432
196,2.53741,33554432
197,2.66873,33554432
198,2.77931,33554432
199,2.91831,33554432
200,2.70633,33554432
201,2.60036,33554432
202,2.84133,33554432
203,2.76941,33554432
204,2.67738,33554432
205,2.52907,33554432
206,2.62109,33554432
207,3.0547,33554432
208,2.78955,33554432
209,2.80825,33554432
210,2.9896,33554432
211,2.71167,33554432
212,2.85684,33554432
213,3.12009,33554432
214,3.34548,33554432
215,3.04259,33554432
216,2.89963,33554432
217,2.91095,33554432
218,2.78794,33554432
219,2.67786,33554432
220,2.81416,33554432
221,2.92767,33554432
222,2.83959,33554432
223,2.87757,33554432
224,2.92165,33554432
225,2.69239,33554432
226,2.63981,33554432
227,2.95093,33554432
228,2.82403,33554432
229,2.78183,33554432
230,2.72677,33554432
231,2.87236,33554432
232,2.81513,33554432
233,2.76309,33554432
234,2.69885,33554432
235,2.75178,33554432
236,3.21067,33554432
237,2.76749,33554432
238,2.64032,33554432
239,2.75435,33554432
240,2.69153,33554432
241,2.67951,33554432
242,2.71282,33554432
243,2.89066,33554432
244,2.83916,33554432
245,2.72066,33554432
246,2.96167,33554432
247,2.86202,33554432
248,3.05786,33554432
249,2.66552,33554432
250,2.9446,33554432
251,2.76099,33554432
252,2.9483,33554432
253,3.80606,33554432
254,2.80562,33554432
255,2.86267,33554432
